title,Production company,Country,Language,Budget,Box office,Release date,Directed by,profit,Sum_profit_by_directed,count_title_by_directed,genre
Return to Oz,"['Walt Disney Pictures', 'Silver Screen Partners II']","['United States', 'United Kingdom']",English,28000000,11100000,1985-06-21,Walter Murch,-16900000,-16900000,1,Adventure
Robin Hood,Walt Disney Productions,United States,English,5000000,32000000,1973-11-08,Wolfgang Reitherman,27000000,607200000,4,Animation
RocketMan,"['Walt Disney Pictures', 'Caravan Pictures', 'Roger Birnbaum Productions']",United States,English,16000000,15400000,1997-10-10,Stuart Gillard,-600000,-600000,1,Comedy
Roving Mars,"['Walt Disney Pictures', 'White Mountain Films', 'The Kennedy/Marshall Company']",United States,English,1000000,11000000,2006-01-27,George Butler,10000000,10000000,1,Documentary
Rudyard Kipling's The Jungle Book,,United States,English,30000000,43200000,1994-12-25,Stephen Sommers,13200000,30800000,2,Adventure
Saving Mr. Banks,"['Walt Disney Pictures', 'Ruby Films', 'Essential Media and Entertainment', 'BBC Films', 'Hopscotch Features']","['Australia', 'United Kingdom', 'United States']",English,35000000,117900000,2013-10-20,John Lee Hancock,82900000,141600000,2,Drama
Secretariat,"['Walt Disney Pictures', 'Mayhem Pictures']",United States,English,35000000,60300000,2010-09-30,Randall Wallace,25300000,25300000,1,Drama
Shipwrecked,"['Walt Disney Pictures', 'AB Svensk Filmindustri']","['Norway', 'Sweden', 'United States']","['Norwegian', 'English']",8700000,15100000,1990-10-03,Nils Gaup,6400000,6400000,1,Adventure
Sky High,"['Walt Disney Pictures', 'Gunn Films']",United States,English,35000000,86400000,2005-07-29,Mike Mitchell,51400000,51400000,1,Adventure
Sleeping Beauty,Walt Disney Productions,United States,English,6000000,51600000,1959-01-29,"['Clyde Geronimi (supervising)', 'Eric Larson', 'Wolfgang Reitherman', 'Les Clark']",45600000,45600000,1,Drama
Snow Dogs,"['Walt Disney Pictures', 'The Kerner Entertainment Company']",United States,English,33000000,115000000,2002-01-18,Brian Levant,82000000,82000000,1,Comedy
Snow White and the Seven Dwarfs,Walt Disney Productions,United States,English,1490000,418000000,1937-12-21,"['David Hand (supervising)', 'William Cottrell', 'Wilfred Jackson', 'Larry Morey', 'Perce Pearce', 'Ben Sharpsteen']",416510000,416510000,1,Musical
So Dear to My Heart,Walt Disney Productions,United States,English,1500000,3700000,1948-11-29,"['Harold D. Schuster', 'Hamilton Luske']",2200000,2200000,1,Drama
Something Wicked This Way Comes,"['Walt Disney Productions', 'Bryna Productions']",United States,English,20000000,8400000,1983-04-29,Jack Clayton,-11600000,-11600000,1,Horror
Song of the South,Walt Disney Productions,United States,English,2125000,65000000,1946-11-12,"['Live action:', 'Harve Foster', 'Animation:', 'Wilfred Jackson']",62875000,62875000,1,Adventure
Soul,,United States,English,150000000,47300000,2020-10-11,Pete Docter,-102700000,1602800000,4,Animation
Swiss Family Robinson,Walt Disney Productions,United States,English,4000000,40000000,1960-12-21,Ken Annakin,36000000,34700000,3,Adventure
Tall Tale,"['Walt Disney Pictures', 'Caravan Pictures']",United States,English,32000000,11000000,1995-03-24,Jeremiah S. Chechik,-21000000,-21000000,1,Western
Tangled,"['Walt Disney Pictures', 'Walt Disney Animation Studios']",United States,English,260000000,592400000,2010-11-14,"['Nathan Greno', 'Byron Howard']",332400000,332400000,1,Adventure
Tarzan,,United States,English,130000000,448200000,1999-06-12,"['Kevin Lima', 'Chris Buck']",318200000,318200000,1,Adventure
Teacher's Pet,"['Walt Disney Pictures', 'Walt Disney Television Animation', 'Toon City Animation']",United States,English,10000000,6500000,2004-01-16,Timothy Bjรถrklund,-3500000,-3500000,1,Animation
Tex,Walt Disney Productions (promoted under the auspices of Touchstone Films ),United States,English,5000000,7400000,1982-07-30,Tim Hunter,2400000,2400000,1,Drama
The Adventures of Huck Finn,Walt Disney Pictures,United States,English,6500000,24100000,1993-04-02,Stephen Sommers,17600000,30800000,2,Adventure
The Aristocats,Walt Disney Productions,United States,English,4000000,191000000,1970-12-11,Wolfgang Reitherman,187000000,607200000,4,Musical
The BFG,,United States,English,140000000,195200000,2016-05-14,Steven Spielberg,55200000,55200000,1,Adventure
The Big Green,"['Walt Disney Pictures', 'Caravan Pictures', 'Roger Birnbaum Productions']",United States,English,12000000,17700000,1995-09-29,Holly Goldberg Sloan,5700000,5700000,1,Comedy
The Black Cauldron,"['Walt Disney Pictures', 'Walt Disney Feature Animation', 'Silver Screen Partners II']",United States,English,44000000,21300000,1985-07-26,"['Ted Berman', 'Richard Rich']",-22700000,-22700000,1,Adventure
The Black Hole,Walt Disney Productions,United States,English,20000000,35800000,1979-12-18,Gary Nelson,15800000,46800000,2,Sci-Fi
The Book of Masters,"['The Walt Disney Company CIS', '(Russia)', 'Trite (Russia)']",Russia,Russian,8000000,11300000,,Vadim Sokolovsky,3300000,3300000,1,Fantasy
The Chronicles of Narnia: Prince Caspian,"['Walt Disney Pictures', 'Walden Media']","['United Kingdom', 'United States']",English,225000000,419700000,2008-05-07,Andrew Adamson,194700000,759700000,2,Fantasy
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","['Walt Disney Pictures', 'Walden Media']","['United Kingdom', 'United States']",English,180000000,745000000,2005-12-07,Andrew Adamson,565000000,759700000,2,Fantasy
The Country Bears,Walt Disney Pictures,United States,English,35000000,18000000,2002-07-21,Peter Hastings,-17000000,-17000000,1,Adventure
The Emperor's New Groove,"['Walt Disney Pictures', 'Walt Disney Feature Animation']",United States,English,100000000,169300000,2000-12-15,Mark Dindal,69300000,233700000,2,Adventure
The Finest Hours,"['Walt Disney Pictures', 'Whitaker Entertainment', 'Red Hawk Entertainment']",United States,English,70,52100000,2016-01-25,Craig Gillespie,52099930,66299930,2,Thriller/Suspense
The Fox and the Hound,Walt Disney Productions,United States,English,12000000,63500000,1981-07-10,"['Ted Berman', 'Richard Rich', 'Art Stevens']",51500000,51500000,1,Comedy
The Game Plan,"['Walt Disney Pictures', 'Mayhem Pictures']",United States,English,22000000,146600000,2007-09-23,Andy Fickman,124600000,181000000,2,Comedy
The Good Dinosaur,,United States,English,175000000,332200000,2015-11-10,Peter Sohn,157200000,157200000,1,Adventure
The Great Mouse Detective,"['Walt Disney Pictures', 'Walt Disney Feature Animation', 'Silver Screen Partners II']",United States,English,14000000,38700000,1986-07-02,"['John Musker', 'Dave Michener', 'Ron Clements', 'Burny Mattinson']",24700000,24700000,1,Adventure
The Greatest Game Ever Played,Walt Disney Pictures,United States,English,25000000,15400000,2005-09-30,Bill Paxton,-9600000,-9600000,1,Drama
The Happiest Millionaire,Walt Disney Productions,United States,English,5000000,5000000,1967-06-23,Norman Tokar,0,0,1,Musical
The Haunted Mansion,Walt Disney Pictures,United States,English,90000000,182300000,2003-11-26,Rob Minkoff,92300000,92300000,1,Comedy
The Hunchback of Notre Dame,"['Walt Disney Pictures', 'Walt Disney Feature Animation']",United States,English,100000000,325300000,1996-06-21,"['Gary Trousdale', 'Kirk Wise']",225300000,826499910,3,Adventure
The Incredibles,,United States,English,92000000,633000000,2004-10-27,Brad Bird,541000000,2263699820,4,Adventure
The Island at the Top of the World,Walt Disney Productions,United States,"['English', 'Swedish', 'Norwegian', 'Danish', 'Icelandic']",8000000,10000000,1974-12-20,Robert Stevenson,2000000,162963995.6,4,Fantasy
The Jungle Book,Walt Disney Productions,United States,English,4000000,378000000,1967-10-18,Wolfgang Reitherman,374000000,607200000,4,Adventure
The Jungle Book,"['Walt Disney Pictures', 'Fairview Entertainment']",United States,English,175,966600000,2016-04-04,Jon Favreau,966599825,2623599575,2,Adventure
The Jungle Book 2,"['DisneyToon Studios', 'Walt Disney Pictures']","['United States', 'Australia']",English,20000000,135700000,2003-02-14,Steve Trenbirth,115700000,115700000,1,Adventure
The Kid,Walt Disney Pictures,United States,English,65000000,110300000,2000-07-07,Jon Turteltaub,45300000,825200000,5,Comedy
The Last Flight of Noah's Ark,Walt Disney Productions,United States,English,6000000,11000000,1980-07-09,Charles Jarrott,5000000,5000000,1,Adventure
The Lion King,"['Walt Disney Pictures', 'Fairview Entertainment']",United States,English,250,1657000000,2019-07-09,Jon Favreau,1656999750,2623599575,2,Adventure
The Lion King,"['Walt Disney Pictures', 'Walt Disney Feature Animation']",United States,English,45000000,968500000,1994-06-15,"['Roger Allers', 'Rob Minkoff']",923500000,923500000,1,Adventure
The Living Desert,Walt Disney Productions,United States,English,300000,2600000,1953-11-10,James Algar,2300000,2300000,1,Documentary
The Lizzie McGuire Movie,"['Walt Disney Pictures', 'Stan Rogow Productions']",United States,"['English', 'Italian']",17000000,55500000,2003-05-02,Jim Fall,38500000,38500000,1,Comedy
The Lone Ranger,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Infinitum Nihil', 'Blind Wink Productions']",United States,English,225,260500000,2013-06-22,Gore Verbinski,260499775,2276799775,4,Western
The Love Bug,Walt Disney Productions,United States,English,5000000,51264000,1968-12-24,Robert Stevenson,46264000,162963995.6,4,Comedy
The Man from Snowy River II,"['Walt Disney Pictures', 'Silver Screen Partners III', 'Burrowes Film Group', 'The Hoyts Group']",Australia,English,8700000,13687027,1988-03-24,Geoff Burrowes,4987027,4987027,1,Drama
The Mighty Ducks,"['Walt Disney Pictures', 'Avnetโ€“ Kerner Productions', 'Touchwood Pacific Partners']",United States,English,14000000,50800000,1992-10-02,Stephen Herek,36800000,306400000,3,Comedy
The Muppet Christmas Carol,,United States,English,12000000,27200000,1992-12-11,Brian Henson,15200000,18500000,2,Comedy
The Muppets,"['Walt Disney Pictures', 'Mandeville Films']",United States,English,45000000,165200000,2011-11-04,James Bobin,120200000,279100000,3,Comedy
The Nightmare Before Christmas,"['Touchstone Pictures', 'Skellington Productions']",United States,English,26000000,91500000,1993-10-29,Henry Selick,65500000,56400000,2,Musical
The Nutcracker and the Four Realms,"['Walt Disney Pictures', 'The Mark Gordon Company']",United States,English,120,174000000,2018-10-29,"['Lasse Hallstrรถm', 'Joe Johnston']",173999880,173999880,1,Fantasy
The Odd Life of Timothy Green,"['Walt Disney Pictures', 'Scott Sanders Productions']",United States,English,25000000,56000000,2012-08-15,Peter Hedges,31000000,31000000,1,Drama
The Pacifier,"['Walt Disney Pictures', 'Spyglass Entertainment']",United States,English,56000000,198600000,2005-03-04,Adam Shankman,142600000,275500000,2,Comedy
The Parent Trap,Walt Disney Pictures,United States,English,15000000,92100000,1998-07-29,Nancy Meyers,77100000,77100000,1,Comedy
The Princess Diaries,"['Walt Disney Pictures', 'BrownHouse Productions']",United States,English,26000000,165300000,2001-08-03,Garry Marshall,139300000,229000000,2,Romantic Comedy
The Princess Diaries 2: Royal Engagement,,United States,English,45000000,134700000,2004-08-11,Garry Marshall,89700000,229000000,2,Adventure
The Princess and the Frog,"['Walt Disney Pictures', 'Walt Disney Animation Studios']",United States,English,105000000,270000000,2009-11-25,"['Ron Clements', 'John Musker']",165000000,993099850,4,Romantic Comedy
The Reluctant Dragon,Walt Disney Productions,United States,English,600000,960000,1941-06-20,"['Alfred Werker', '(live action)', 'Hamilton Luske', '(animation)', 'Jack Cutting', ',', 'Ub Iwerks', ',', 'Jack Kinney', '(sequence directors)']",360000,360000,1,Animation
The Rescuers,Walt Disney Productions,United States,English,7500000,169000000,1977-06-22,"['Wolfgang Reitherman', 'John Lounsbery', 'Art Stevens']",161500000,161500000,1,Adventure
The Rocketeer,,United States,English,35000000,46700000,1991-06-21,Joe Johnston,11700000,216400000,2,Action
The Rookie,Walt Disney Pictures,United States,English,22000000,80700000,2002-03-29,John Lee Hancock,58700000,141600000,2,Drama
The Santa Clause,"['Walt Disney Pictures', 'Hollywood Pictures', 'Outlaw Productions']",United States,English,22000000,189800000,1994-11-11,John Pasquin,167800000,195700000,2,Comedy
The Santa Clause 2,"['Walt Disney Pictures', 'Outlaw Productions', 'Boxing Cat Films']",United States,English,65000000,172900000,2002-11-01,Michael Lembeck,107900000,206700000,2,Comedy
The Santa Clause 3: The Escape Clause,"['Walt Disney Pictures', 'Outlaw Productions', 'Boxing Cat Films']",United States,English,12000000,110800000,2006-11-03,Michael Lembeck,98800000,206700000,2,Comedy
The Shaggy Dog,Walt Disney Productions,United States,English,1000000,12300000,1959-03-19,Charles Barton,11300000,11300000,1,Comedy
The Shaggy Dog,"['Walt Disney Pictures', 'Mandeville Films', 'Boxing Cat Films']",United States,English,50000000,87100000,2006-03-10,Brian Robbins,37100000,37100000,1,Comedy
The Sorcerer's Apprentice,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Saturn Films', 'Broken Road Productions']",United States,English,150000000,215300000,2010-07-08,Jon Turteltaub,65300000,825200000,5,Adventure
The Straight Story,"['Asymmetrical Productions', 'Canal+', 'FilmFour Productions', 'Ciby 2000', 'Le Studio Canal+']","['United States', 'United Kingdom', 'France']",English,10000000,6200000,,David Lynch,-3800000,-3800000,1,Drama
The Sword and the Rose,Walt Disney Productions,"['United Kingdom', 'United States']",English,2000000,1000000,1953-08-08,Ken Annakin,-1000000,34700000,3,Romance
The Sword in the Stone,Walt Disney Productions,United States,English,3000000,22200000,1963-12-25,Wolfgang Reitherman,19200000,607200000,4,Adventure
The Three Musketeers,"['Walt Disney Pictures', 'Caravan Pictures', 'Avnetโ€“Kerner Productions (uncredited)']","['United States', 'Austria']",English,30000000,53900000,1993-11-12,Stephen Herek,23900000,306400000,3,Adventure
The Tigger Movie,"['Walt Disney Pictures', 'Walt Disney Television Animation', 'Walt Disney Animation Japan']",United States,English,15000000,96200000,2000-02-11,"['Jun Falkenstein', 'Andrew Stanton']",81200000,81200000,1,Adventure
The Watcher in the Woods,Walt Disney Productions,United States,English,9000000,5000000,1980-04-17,"['John Hough', 'Vincent McEveety (uncredited)']",-4000000,-4000000,1,Horror
The Wild,"['Walt Disney Pictures', 'Hoytyboy Pictures', 'Sir Zip Productions', 'Contrafilm', 'C.O.R.E. Feature Animation']","['United States', 'Canada']",English,80000000,102300000,2006-04-14,"Steve ""Spaz"" Williams",22300000,22300000,1,Adventure
Third Man on the Mountain,Walt Disney Productions,United States,English,2000000,1700000,1959-11-10,Ken Annakin,-300000,34700000,3,Adventure
Tomorrowland,"['Walt Disney Pictures', 'A113 Productions']",United States,English,180,209000000,2015-05-09,Brad Bird,208999820,2263699820,4,Adventure
Toy Story,,United States,English,30000000,373000000,1995-11-19,John Lasseter,343000000,1697800000,5,Adventure
Toy Story 2,,United States,English,90000000,497400000,1999-11-13,John Lasseter,407400000,1697800000,5,Adventure
Toy Story 3,"['Walt Disney Pictures', 'Pixar Animation Studios']",United States,English,200000000,1067000000,2010-06-12,Lee Unkrich,867000000,1499800000,2,Adventure
Toy Story 4,,United States,English,200000000,1073000000,2019-06-11,Josh Cooley,873000000,873000000,1,Adventure
Treasure Island,Walt Disney Productions,"['United States', 'United Kingdom']",English,1800000,4100000,1950-06-22,Byron Haskin,2300000,2300000,1,Adventure
Treasure Planet,"['Walt Disney Pictures', 'Walt Disney Feature Animation']",United States,English,140000000,109600000,2002-11-27,"['Ron Clements', 'John Musker']",-30400000,993099850,4,Adventure
Tron: Legacy,,United States,English,170000000,400100000,2010-11-30,Joseph Kosinski,230100000,230100000,1,Adventure
Tuck Everlasting,"['Walt Disney Pictures', 'Scholastic Studios']",United States,English,15000000,19300000,2002-10-11,Jay Russell,4300000,4300000,1,Drama
Underdog,,United States,English,25000000,65300000,2007-08-03,Frederik Du Chau,40300000,40300000,1,Adventure
Up,"['Walt Disney Pictures', 'Pixar Animation Studios']",United States,English,175000000,735100000,2009-05-29,Pete Docter,560100000,1602800000,4,Adventure
Valiant,"['Vanguard Animation', 'Ealing Studios', 'UK Film Council', 'Take Film Partnerships', 'Odyssey Entertainment']","['United Kingdom', 'United States']",English,35000000,61700000,2005-03-25,Gary Chapman,26700000,26700000,1,Adventure
Victory Through Air Power,Walt Disney Productions,United States,English,788000,799000,1943-07-17,"['Animated sequences:', 'James Algar', 'Clyde Geronimi', 'Jack Kinney', 'de Seversky scenes:', 'H.C. Potter']",11000,11000,1,Documentary
WALL-E,,United States,,180000000,521300000,2008-06-23,Andrew Stanton,341300000,2194099825,4,Adventure
White Fang,"['Walt Disney Pictures', 'Silver Screen Partners IV']",United States,English,14000000,34800000,1991-01-18,Randal Kleiser,20800000,49064613,3,Adventure
Winnie the Pooh,,United States,English,30000000,50100000,2011-04-06,"['Stephen Anderson', 'Don Hall']",20100000,20100000,1,Adventure
Wreck-It Ralph,"['Walt Disney Pictures', 'Walt Disney Animation Studios']",United States,English,165000000,471200000,2012-10-29,Rich Moore,306200000,306200000,1,Adventure
Zootopia,"['Walt Disney Pictures', 'Walt Disney Animation Studios']",United States,English,150000000,1024000000,2016-02-13,"['Byron Howard', 'Rich Moore']",874000000,874000000,1,Adventure
